Month,WardLabel,Municipali,latitude,longitude,LST_Surface_C,Air_Temp_C,Soil_Moisture,NDWI_Water,Habitat_Vegetation_Index,Agric_Percentage,Population_Density_Per_KM2,Habitat_Class_Code
Nov 2025,LIM331_1,Greater Giyani Local Municipality,-23.36990468117883,30.35782285666032,28.482768554507565,21.72016362754341,0.2709978132828383,-0.20810414935903757,0.6685871115280873,0.003928697079863961,71.02909486563355,20.0
Nov 2025,LIM331_2,Greater Giyani Local Municipality,-23.329993177023404,30.449201569235203,28.75466574426682,21.880125934357867,0.27075849011186454,-0.1882233198953544,0.6628000233378276,0.0067420392075510805,58.824438306630114,20.0
Nov 2025,LIM331_3,Greater Giyani Local Municipality,-23.278528865914648,30.402857578979045,27.405333126788864,21.690313725398727,0.28562704366028674,-0.18660904600955153,0.6649959635301408,0.011286182172258125,61.97486146057637,20.0
Nov 2025,LIM331_4,Greater Giyani Local Municipality,-23.338896485580126,30.565454893141936,29.22883932924858,22.52290369729881,0.24083499296477234,-0.18866737438981407,0.6023327424304883,0.09669735696944706,74.45923356921267,20.0
Nov 2025,LIM331_5,Greater Giyani Local Municipality,-23.226402347300052,30.567335514692807,28.6048559818784,22.363486498565283,0.24739922137521375,-0.19376677082893934,0.6294429023156258,0.04460984627359407,95.52107820315285,20.0
Nov 2025,LIM331_6,Greater Giyani Local Municipality,-23.295341302896563,30.507117039748756,29.169756900347164,22.09928822896761,0.2580463199676307,-0.1859377860561191,0.6486950977901957,0.05441960883921768,83.88783414702432,20.0
Nov 2025,LIM331_7,Greater Giyani Local Municipality,-23.31848426546925,30.636553225325976,29.956314015312184,22.863761058814575,0.22814483024633458,-0.18370694753357267,0.4956833883941398,0.11146222349899457,260.86902058145836,20.0
Nov 2025,LIM331_8,Greater Giyani Local Municipality,-23.40572912950841,30.556996621687617,29.706040202417316,22.621682806875597,0.23013506142337073,-0.1961910521955673,0.5997935761617355,0.027560882961212167,69.5910724914175,20.0
Nov 2025,LIM331_9,Greater Giyani Local Municipality,-23.33228381850437,30.796042474019888,31.174271257892723,23.530531478334172,0.20584468759218888,-0.20518439536005736,0.48978112712092653,0.08584702396983572,93.46730346260546,20.0
Nov 2025,LIM331_10,Greater Giyani Local Municipality,-23.40313195156513,30.76821025485037,30.23466986981169,23.41519733520156,0.21112746694111353,-0.20386365536184256,0.5525893752460954,0.08509428183926147,69.82996876180897,20.0
Nov 2025,LIM331_11,Greater Giyani Local Municipality,-23.312713631075084,30.704722966601793,30.398637125614687,23.22804783715145,0.21370218065049912,-0.18631052316420832,0.4975465467143495,0.13611980330800177,534.0825818534029,10.0
Nov 2025,LIM331_12,Greater Giyani Local Municipality,-23.314330431983823,30.75148189647966,30.394224808051913,23.397092464401858,0.20845894523324818,-0.19748846106220838,0.5496346143135618,0.09454191033138404,398.19761930176196,20.0
Nov 2025,LIM331_13,Greater Giyani Local Municipality,-23.274135822888134,30.72605897806874,30.311850778662134,23.254319362306212,0.21296141963154666,-0.1858606096592796,0.5000867233238904,0.022568460812086872,217.89582713948076,20.0
Nov 2025,LIM331_14,Greater Giyani Local Municipality,-23.240151375920824,30.719537882564282,30.01619683299613,23.095006546914888,0.21872891542069547,-0.19026167390233803,0.5060525433871931,0.0324356672651107,183.47666029033093,20.0
Nov 2025,LIM331_15,Greater Giyani Local Municipality,-23.133937336276823,30.718042632657024,29.100578203394097,22.578395952922047,0.2373131776376409,-0.20149699198840668,0.6077544729637234,0.05020533880903491,49.2316525173292,20.0
Nov 2025,LIM331_16,Greater Giyani Local Municipality,-23.153255952062462,30.8428257784109,30.1350899531483,23.199648980486273,0.21337899386323259,-0.212018245815736,0.5596017712097895,0.04118510036855475,41.139664360300955,20.0
Nov 2025,LIM331_17,Greater Giyani Local Municipality,-23.231513947211173,30.81179799213065,29.74207283701747,23.40934681563365,0.20810354795860847,-0.20971363892428438,0.594386268964898,0.003677239977278843,38.135203706523555,20.0
Nov 2025,LIM331_18,Greater Giyani Local Municipality,-23.24774260716271,30.905982786277207,30.899898842118734,23.625830271105436,0.2012438245072894,-0.20966907374703328,0.558618197932791,0.006366405352773757,47.20725608734195,20.0
Nov 2025,LIM331_19,Greater Giyani Local Municipality,-23.315853249693166,31.162420247008534,34.24093748896638,24.03081921921924,0.19915547438016218,-0.17734417195275953,0.43110983395395913,0.00419365426437495,4.221209958943942,20.0
Nov 2025,LIM331_20,Greater Giyani Local Municipality,-23.18729734916556,30.730683651787103,29.411303735002114,22.96922238870048,0.22314843431678275,-0.20383409407184022,0.5626689017611609,0.056111403662746466,96.55175484808169,20.0
Nov 2025,LIM331_21,Greater Giyani Local Municipality,-23.361716676879023,30.691033792730913,29.931006346054296,23.233066547596444,0.21275140058969863,-0.19665318050621253,0.5736366382978726,0.055546099290780145,84.92131249510572,20.0
Nov 2025,LIM331_22,Greater Giyani Local Municipality,-23.46527422014374,30.876836417795214,31.07910057836091,23.61971323926218,0.21476313988446172,-0.20124815316099112,0.5120146667371988,0.010452814219212866,40.37628769971154,20.0
Nov 2025,LIM331_23,Greater Giyani Local Municipality,-23.58218063998456,30.8879363670652,30.97108647024761,23.673644857777358,0.2210402125809105,-0.217350231016397,0.49841433163900767,0.016225132123741885,33.356634097868124,20.0
Nov 2025,LIM331_24,Greater Giyani Local Municipality,-23.51975870798855,30.724128243665007,30.228774504843734,23.315625928018182,0.21505728272199393,-0.2026788562080902,0.5256529174166918,0.08864205119199188,61.66551066838325,20.0
Nov 2025,LIM331_25,Greater Giyani Local Municipality,-23.574560147630617,30.6733589258611,29.36114665181643,23.272538535227948,0.2257235885621165,-0.21863324743237175,0.5712086331946473,0.09479365793320589,137.78575609024887,20.0
Nov 2025,LIM331_26,Greater Giyani Local Municipality,-23.44068706816,30.70658022575662,30.185481250950797,23.25134251374617,0.2131874371000643,-0.1932780678449175,0.5541830477878428,0.020710253380596032,51.77963316150921,20.0
Nov 2025,LIM331_27,Greater Giyani Local Municipality,-23.631153566395064,30.825894274524007,30.00953591904464,23.609701653837476,0.22804763037023493,-0.23851447044377933,0.5660652552031719,0.026090188305252726,44.75657470462662,20.0
Nov 2025,LIM331_28,Greater Giyani Local Municipality,-23.631773423159924,30.741583832098964,29.456137992094142,23.450329789136518,0.2308883247504684,-0.2358646794867319,0.6180465594452742,0.06972600760822459,97.77388537400402,20.0
Nov 2025,LIM331_29,Greater Giyani Local Municipality,-23.585842963255274,31.01142812954051,32.140818669309354,23.813462541651397,0.20960634175283618,-0.21053437841768108,0.47162887215339544,0.018934525951438505,28.553135990044986,20.0
Nov 2025,LIM331_30,Greater Giyani Local Municipality,-23.249762336579874,30.63253819060287,29.00001777058109,22.74116494201548,0.23159206588130732,-0.19558998352943058,0.5962159258084972,0.05808497146480659,53.62535632085811,20.0
Nov 2025,LIM331_31,Greater Giyani Local Municipality,-23.37473640578656,30.85357350394366,30.65801621646388,23.57378773494046,0.2100909143610647,-0.20515014823028965,0.5307650183662761,0.04488368025188036,39.22098597950698,20.0
Nov 2025,LIM332_1,Greater Letaba Local Municipality,-23.601973362361893,30.331150471565532,27.450503652823027,20.93188828433436,0.2571259408378716,-0.22118651551329607,0.7211031406336857,0.038354641467481944,224.58129994486353,10.0
Nov 2025,LIM332_2,Greater Letaba Local Municipality,-23.66188350301666,30.267654193606226,27.863924783929015,20.901098164299476,0.27466573222890356,-0.18048614322011422,0.6438266292922216,0.0,843.5340628279837,10.0
Nov 2025,LIM332_3,Greater Letaba Local Municipality,-23.647075273118332,30.22943889824001,29.0178868808568,20.64467646919263,0.28111998667838267,-0.1707125499276033,0.5287499497991969,0.0,1376.1508153923546,50.0
Nov 2025,LIM332_4,Greater Letaba Local Municipality,-23.637754690259378,30.219442987056397,29.22956557595108,20.719570732116722,0.2690499835544162,-0.17634066219269898,0.5296623370577281,0.0,1385.0838565293636,20.0
Nov 2025,LIM332_5,Greater Letaba Local Municipality,-23.629555125522018,30.261052024969878,26.168931816696116,20.824606076248227,0.266390893900455,-0.20174173843886348,0.7275721710139245,0.0,365.2902350077482,10.0
Nov 2025,LIM332_6,Greater Letaba Local Municipality,-23.643289341622467,30.281626851240688,26.69477100677103,20.898268685458216,0.26082331796965735,-0.19576318006971222,0.6186684615384613,0.0,740.4186027714143,10.0
Nov 2025,LIM332_7,Greater Letaba Local Municipality,-23.62275233364274,30.304861466117554,26.857470839165533,20.897687594095885,0.2579804950290256,-0.21856793984130155,0.6782667266546689,0.0,299.7602877741107,10.0
Nov 2025,LIM332_8,Greater Letaba Local Municipality,-23.674740374922195,30.235301689180663,26.34779554995804,20.40504367309496,0.3249867554909369,-0.20886873363772931,0.7430550692695215,0.0,441.7690405792202,10.0
Nov 2025,LIM332_9,Greater Letaba Local Municipality,-23.633053755113966,29.97696771012678,27.92829959602295,19.77361101565572,0.2906515357997896,-0.22222114530098783,0.5838503996238835,0.039962388340385534,211.02572887326752,20.0
Nov 2025,LIM332_10,Greater Letaba Local Municipality,-23.604931514754657,29.996569480727718,28.859843270099397,19.816868909200082,0.28892129262288413,-0.19746764999256544,0.4338966666666667,0.08292682926829267,792.6690937542334,50.0
Nov 2025,LIM332_11,Greater Letaba Local Municipality,-23.593682925029654,30.36428901357419,27.957652951367713,21.36126286189066,0.24639738997333227,-0.2247830961301953,0.6170112282701625,0.0,325.14331502517194,20.0
Nov 2025,LIM332_12,Greater Letaba Local Municipality,-23.473183791480036,30.08492324312962,26.98484260672599,20.53076515822775,0.2667827788725684,-0.21245075440339964,0.6974512225907765,0.06274400446179586,24.746645380929504,19.999999999999996
Nov 2025,LIM332_13,Greater Letaba Local Municipality,-23.37618863453926,30.12564536396703,27.169674593462958,20.51632199616903,0.2751938526315198,-0.2194292023016037,0.6892448081461408,0.0,109.83460092279273,20.0
Nov 2025,LIM332_14,Greater Letaba Local Municipality,-23.539597808233268,30.199535523606407,28.400193738079132,20.959824644952253,0.263898963718187,-0.22003804600173268,0.6409626529170538,0.19974844067679792,23.494218852529883,19.99999999999999
Nov 2025,LIM332_15,Greater Letaba Local Municipality,-23.345783568838854,30.172958180209513,27.6085519375127,21.073138085663192,0.27853554639768474,-0.21338310436097116,0.6318074863055387,0.00678201895487349,157.31650183522538,20.0
Nov 2025,LIM332_16,Greater Letaba Local Municipality,-23.39734360190672,30.238910603232465,28.588619688358992,21.398417539227946,0.2676699738280161,-0.22013218649394245,0.6346958814352578,0.13642745709828394,105.5049070771869,20.0
Nov 2025,LIM332_17,Greater Letaba Local Municipality,-23.33970976825411,30.23424508911532,26.961270293163203,21.232124965473783,0.28102867329599573,-0.22368579538733732,0.6659225326624295,0.02021539548022599,127.16411867494917,20.0
Nov 2025,LIM332_18,Greater Letaba Local Municipality,-23.4108891587601,30.196139152263125,28.56795543105113,21.26182446010957,0.268140837986499,-0.22000010495973019,0.5949418772563178,0.08259490208948693,135.50420891086122,20.0
Nov 2025,LIM332_19,Greater Letaba Local Municipality,-23.435123282572746,30.361578238136442,28.722069632495195,21.71763486643699,0.2604907498440639,-0.2279216668044345,0.621392088974855,0.02862669245647969,135.19694962192327,20.0
Nov 2025,LIM332_20,Greater Letaba Local Municipality,-23.4697531350055,30.329015492287578,29.26503615988976,21.45185574087678,0.253843897702651,-0.21752213647189528,0.5437859719552192,0.015492479927626377,151.1738110922452,20.0
Nov 2025,LIM332_21,Greater Letaba Local Municipality,-23.497474121040963,30.36555116721795,28.848159437740257,21.560446256339986,0.24788814037464535,-0.20837580610787426,0.5626951020790408,0.030530061809327578,131.69396265131186,20.0
Nov 2025,LIM332_22,Greater Letaba Local Municipality,-23.389171918471284,30.481534282783393,29.57010415981408,22.20720438353436,0.25207734039900903,-0.20408501804882692,0.605948342214328,0.01960397342280113,120.7776592859712,20.0
Nov 2025,LIM332_23,Greater Letaba Local Municipality,-23.41492144941663,30.41422340718731,28.86695701178704,21.82299250528203,0.26198681752149017,-0.20845229296088377,0.6142773522904739,0.0,79.75756859527753,20.0
