Month,WardLabel,Municipali,latitude,longitude,LST_Surface_C,Air_Temp_C,Soil_Moisture,NDWI_Water,Habitat_Vegetation_Index,Agric_Percentage,Population_Density_Per_KM2,Habitat_Class_Code
Jan 2025,LIM331_1,Greater Giyani Local Municipality,-23.36990468117883,30.35782285666032,27.619490759917706,23.843578835565378,0.3551882810364433,-0.3070424738233807,0.6291170165357097,0.003928697079863961,71.02909486563355,20.0
Jan 2025,LIM331_2,Greater Giyani Local Municipality,-23.329993177023404,30.449201569235203,27.599719748442972,24.0096633845404,0.3566589990473042,-0.2989430641354569,0.6917234752619019,0.0067420392075510805,58.824438306630114,20.0
Jan 2025,LIM331_3,Greater Giyani Local Municipality,-23.278528865914648,30.402857578979045,26.35992197985007,23.87240149254443,0.36314686114303363,-0.3000054028265412,0.6640100867486947,0.011286182172258125,61.97486146057637,20.0
Jan 2025,LIM331_4,Greater Giyani Local Municipality,-23.338896485580126,30.565454893141936,27.92884070453187,24.552741847855376,0.3388234795547836,-0.3112712490097752,0.7000688859878151,0.09669735696944706,74.45923356921267,20.0
Jan 2025,LIM331_5,Greater Giyani Local Municipality,-23.226402347300052,30.567335514692807,27.087904654185103,24.453104857934377,0.332883686742351,-0.3062410526416903,0.6870289136991631,0.04460984627359407,95.52107820315285,20.0
Jan 2025,LIM331_6,Greater Giyani Local Municipality,-23.295341302896563,30.507117039748756,27.512523651277487,24.203244691377954,0.34996363612542486,-0.3256074087455365,0.6933603568707138,0.05441960883921768,83.88783414702432,20.0
Jan 2025,LIM331_7,Greater Giyani Local Municipality,-23.31848426546925,30.636553225325976,28.837194230129125,24.85970732002015,0.32746953674036067,-0.28713615057164316,0.6007920425165184,0.11146222349899457,260.86902058145836,20.0
Jan 2025,LIM331_8,Greater Giyani Local Municipality,-23.40572912950841,30.556996621687617,28.095550464975616,24.60579367326344,0.3360706092536418,-0.28554420909641387,0.6564172899168529,0.027560882961212167,69.5910724914175,20.0
Jan 2025,LIM331_9,Greater Giyani Local Municipality,-23.33228381850437,30.796042474019888,28.385856111857322,25.468154865701237,0.3053999569667032,-0.30226195038544845,0.658533173983302,0.08584702396983572,93.46730346260546,20.0
Jan 2025,LIM331_10,Greater Giyani Local Municipality,-23.40313195156513,30.76821025485037,27.662221063408186,25.39013448921403,0.310658301498303,-0.31015071477360445,0.6810558515990726,0.08509428183926147,69.82996876180897,20.0
Jan 2025,LIM331_11,Greater Giyani Local Municipality,-23.312713631075084,30.704722966601793,28.691706984268922,25.172434107462607,0.3146464440130418,-0.254751617717567,0.600084734018775,0.13611980330800177,534.0825818534029,10.0
Jan 2025,LIM331_12,Greater Giyani Local Municipality,-23.314330431983823,30.75148189647966,28.091664147140364,25.32532349216391,0.30944667816253496,-0.28439387162891616,0.6953892160957953,0.09454191033138404,398.19761930176196,20.0
Jan 2025,LIM331_13,Greater Giyani Local Municipality,-23.274135822888134,30.72605897806874,28.560779982272503,25.19843435150654,0.3132012917634824,-0.27021577955699383,0.61069910292729,0.022568460812086872,217.89582713948076,20.0
Jan 2025,LIM331_14,Greater Giyani Local Municipality,-23.240151375920824,30.719537882564282,28.428378445824418,25.07847667394447,0.3108827922561801,-0.27109546984725896,0.596819928186714,0.0324356672651107,183.47666029033093,20.0
Jan 2025,LIM331_15,Greater Giyani Local Municipality,-23.133937336276823,30.718042632657024,27.282754964206475,24.650886434828383,0.31643898914522395,-0.2844013939984526,0.6536194849418209,0.05020533880903491,49.2316525173292,20.0
Jan 2025,LIM331_16,Greater Giyani Local Municipality,-23.153255952062462,30.8428257784109,27.58161497954463,25.169564028945384,0.30089041273424405,-0.2916694458410231,0.6410568075285361,0.04118510036855475,41.139664360300955,20.0
Jan 2025,LIM331_17,Greater Giyani Local Municipality,-23.231513947211173,30.81179799213065,26.950423628304858,25.351914423480252,0.3018060320552646,-0.30894316982847325,0.6885700633800711,0.003677239977278843,38.135203706523555,20.0
Jan 2025,LIM331_18,Greater Giyani Local Municipality,-23.24774260716271,30.905982786277207,27.10539930403123,25.581398766411336,0.29237617961443507,-0.334669924414199,0.6911760473360963,0.006366405352773757,47.20725608734195,20.0
Jan 2025,LIM331_19,Greater Giyani Local Municipality,-23.315853249693166,31.162420247008534,28.841019680860477,26.05649373520785,0.2903208086699638,-0.312480448218793,0.5945955632507429,0.00419365426437495,4.221209958943942,19.999999999999996
